product_tmpl_id.bigcommerce_product_id,Product Code/SKU,Part Number,Brand Name,Current Stock Level,Product Condition
26110,45187,IRFB42N20D,International Rectifier(IR),45,New
65405,45188,142142,AMPHENOL,45,New
26112,45189,EPM7064STC100-7,ALTREA,45,New
26113,45190,ENG6MECHAZP119,MOTOROLA,35,New
26114,45191,AD557JN,ANALOG DEVICE,45,New
65624,45192,28JR561-1,BERG/FCI,45,New
26116,45193,LVDDF1210T50A,HOFFMA,45,New
26117,45194,S-2121,OLFLEX CABLE,45,New
26118,45195,89WR10K,27,45,New
26119,45196,P30P42A12PI-12,AMP,0,New
26120,45197,609-50720-2,AMP,0,New
65305,45198,HFR40577768N,AMP,45,New
26122,45199,B51C4U03T,AMP,45,New
26123,45200,842744-5,AMP,45,New
79690,45201,MT48LC8M16A2TG-8ELB,MT,45,New
79499,45202,MT28F800B3WG-10BD,MT,45,New
79742,45203,MT4C4M4A1TG-6Z,MT,45,New
26125,45204,CP90-V2180-1,21761,45,New
25919,45205,MT4LC4M4A1DJ-6Z,MT,45,New
26126,45206,MT55L128V36PIB-7.5A,MT,45,New
26127,45207,MT55L256V18PIB-7.5A,MT,45,New
26128,45208,ADM2209EARU,ANALOG DEVICE,45,New
26129,45209,Q2N6756,International Rectifier(IR),45,New
57769,45210,K6R1008V1C-TI15,Unbranded,46,New
91573,45211,493A33,ST Microelectronics,46,New
26131,45212,HY29F002TT-90,20662,46,New
59147,45213,HY57V651620BATC-7,20577,46,New
65581,45214,AT29C010A-12JC,ATMEL,46,New
26134,45215,XC4028XLA-09C,XILIINX,46,New
67821,45216,MB81F161622C-80FN,FUJITSU,46,New
26135,45217,24AA081/PP4W,21144,46,New
26136,45218,IDE-11008,AMP,46,New
71739,45219,NG82357,Intel - Intel,46,New
26138,45220,640440-8,AMP,45,New
26139,45221,IRFI9634G,International Rectifier(IR),46,New
57666,45222,S40016LK7TW-75AU,Unbranded,46,New
26140,45223,IR2106S,International Rectifier(IR),46,New
26141,45224,MT4LC16M4A7DJ-5D,MT,46,New
57770,45225,LD1086-18,Unbranded,47,New
26142,45226,AM29F016D-90EC,ADVANCED MICRO DEVICES,47,New
26143,45227,CS82C54-12,HARRIS,47,New
65512,45228,ADM232LJR,ANALOG DEVICE,47,New
26144,45229,50.250-S  MHZ,S+T,47,New
9859,45230,AM29CPL154H-30DC,ADVANCED MICRO DEVICES,40,New
26145,45231,500XL037,20065,45,New
26146,45232,65000-135,BERG/FCI,0,New
59105,45233,GS7266-474-002J,20490,0,New
26147,45234,P0648.102,PULSE JACK,48,New
26148,45235,237-010-01,PHILIPS,48,New
26149,45236,PA28F800B5B90,Intel - Intel,48,New
26150,45237,LH28F160S5T-L70A,207,48,New
26151,45238,HY29F002TT-10,20662,48,New
26152,45239,K4G163222A-PC70,sam,48,New
79257,45240,U820,MOTOROLA,48,New
26153,45241,BSLK 16-ET2,PHOENIX,48,New
26154,45242,K7A401800M-QC14,sam,48,New
26155,45243,XC9572-15C,XILIINX,0,New
26156,45244,KEM-80055,AMP,0,New
26157,45245,FPCM-SPFCT-27M,ADC,48,New
26158,45246,KHAU-17D12L-48,AMP,27,New
26159,45247,516-AG7D,AUGAT,0,New
26160,45248,3-493830-9,AMP,48,New
26161,45249,4M84-PC133,BLUE STAR PLASTICS,48,New
26162,45250,MT58L256L36FS-7.5A,MT,48,New
26163,45251,MT58L64L32PT-5.5APA,MT,48,New
26164,45252,MT55L512L18PT-10A,MT,48,New
26165,45253,75344S,Intel - Intel,48,New
65406,45254,269110-1,AMPHENOL,48,New
26167,45255,PWX-001RGCSD10BWDB,ADC,47,New
26168,45256,MC68302PU20C,MOTOROLA,49,New
24942,45257,IRFB18N50K,International Rectifier(IR),49,New
92365,45258,16L8-7C,TEXAS INTRUMENTS,49,New
26170,45259,GCM-16030,AMP,48,New
26171,45260,MT48LC1M16A1,MT,49,New
62962,45261,MT4LC8M8E1TG-5,3,49,New
26173,45262,T3261-001,AMP,49,New
26174,45263,SK-30834A,MICRO*,50,New
